,bug_id,url,cos_sim_score,rank,relevancy_score
0,200,ObservationGridAdapter.java,0.7343,1,0.0
1,200,TaxonAdapter.java,0.7292,2,0.0
2,200,DefaultOnDoubleTapListener.java,0.7282,3,0.0
3,200,TutorialFragment.java,0.7280,4,0.0
4,200,UserIdentificationsAdapter.java,0.7234,5,0.0
5,200,FroyoGestureDetector.java,0.7198,6,0.0
6,200,VersionedGestureDetector.java,0.7180,7,0.0
7,200,ProjectUserAdapter.java,0.7180,8,0.0
8,200,PhotoView.java,0.7170,9,0.0
9,200,ObservationProjectsViewer.java,0.7161,10,0.0
10,200,UserSpeciesAdapter.java,0.7149,11,0.0
11,200,UserObservationAdapter.java,0.7121,12,0.0
12,200,ObservationPhoto.java,0.7094,13,0.0
13,200,ObservationProvider.java,0.7091,14,0.0
14,200,ProfilePhotoViewer.java,0.7066,15,0.0
15,200,EclairGestureDetector.java,0.7061,16,0.0
16,200,CupcakeGestureDetector.java,0.7020,17,0.0
17,200,IPhotoView.java,0.7004,18,0.0
18,200,TaxonTagPhotosViewer.java,0.6980,19,0.0
19,200,HackyViewPager.java,0.6953,20,0.0
20,200,ProjectNewsAdapter.java,0.6940,21,0.0
21,200,GuideTaxonPhotoXML.java,0.6939,22,0.0
22,200,ObservationPhotosViewer.java,0.6914,23,0.0
23,200,EmptyViewMethodAccessor.java,0.6903,24,0.0
24,200,LocationDetailsActivity.java,0.6873,25,0.0
25,200,UrlImageViewCallback.java,0.6855,26,0.0
26,200,FavoritesAdapter.java,0.6849,27,0.0
27,200,ProjectObservation.java,0.6847,28,0.0
28,200,ObservationDetails.java,0.6841,29,0.0
29,200,ImageUtils.java,0.6833,30,0.0
30,200,ProjectDetails.java,0.6830,31,0.0
31,200,IcsScroller.java,0.6805,32,0.0
32,200,UserProfile.java,0.6800,33,0.0
33,200,RotateLoadingLayout.java,0.6794,34,0.0
34,200,ProjectNews.java,0.6777,35,0.0
35,200,ObservationManagementTest.java,0.6768,36,0.0
36,200,IPullToRefresh.java,0.6760,37,0.0
37,200,UrlImageViewHelper.java,0.6756,38,0.0
38,200,NewsArticle.java,0.6744,39,0.0
39,200,FlipLoadingLayout.java,0.6738,40,0.0
40,200,LoadingLayoutProxy.java,0.6734,41,0.0
41,200,ProjectsAdapter.java,0.6726,42,0.0
42,200,PullToRefreshExpandableListView.java,0.6725,43,0.0
43,200,ViewCompat.java,0.6720,44,0.0
44,200,ObservationEditor.java,0.6697,45,0.0
45,200,ObservationListActivity.java,0.6696,46,1.0
46,200,IdentificationActivity.java,0.6696,47,0.0
47,200,PhotoViewAttacher.java,0.6693,48,0.0
48,200,OverscrollHelper.java,0.6692,49,0.0
49,200,PullToRefreshGridView.java,0.6691,50,0.0
50,200,TutorialActivity.java,0.6674,51,0.0
51,200,IndicatorLayout.java,0.6672,52,0.0
52,200,CommentsIdsAdapter.java,0.6670,53,0.0
53,200,ScrollerProxy.java,0.6665,54,0.0
54,200,GestureDetector.java,0.6658,55,0.0
55,200,GuidesActivity.java,0.6654,56,0.0
56,200,PullToRefreshHorizontalScrollView.java,0.6648,57,0.0
57,200,PreGingerScroller.java,0.6643,58,0.0
58,200,BaseFragmentActivity.java,0.6638,59,0.0
59,200,LocationChooserActivity.java,0.6631,60,0.0
60,200,Compat.java,0.6629,61,0.0
61,200,GingerScroller.java,0.6628,62,0.0
62,200,LoginSignupActivity.java,0.6623,63,0.0
63,200,PullToRefreshScrollView.java,0.6613,64,0.0
64,200,SwipeableLinearLayout.java,0.6605,65,0.0
65,200,ProjectSelectorActivity.java,0.6593,66,0.0
66,200,DateTimePicker.java,0.6581,67,0.0
67,200,ProjectFieldValue.java,0.6570,68,0.0
68,200,ProjectFieldViewer.java,0.6569,69,0.0
69,200,ProjectsActivity.java,0.6559,70,0.0
70,200,ProjectDetailsAbout.java,0.6558,71,0.0
71,200,GuideTaxonXML.java,0.6555,72,0.0
72,200,ItemSearchActivity.java,0.6545,73,0.0
73,200,BaseTab.java,0.6532,74,0.0
74,200,ILoadingLayout.java,0.6522,75,0.0
75,200,PullToRefreshListView.java,0.6512,76,0.0
76,200,WebActivity.java,0.6509,77,0.0
77,200,Project.java,0.6507,78,0.0
78,200,BaseProjectsTab.java,0.6490,79,0.0
79,200,OnboardingActivity.java,0.6481,80,0.0
80,200,GuideDetails.java,0.6476,81,0.0
81,200,PullToRefreshWebView2.java,0.6471,82,0.0
82,200,PullToRefreshBase.java,0.6468,83,0.0
83,200,ObservationViewerActivity.java,0.6467,84,0.0
84,200,TaxonSearchActivity.java,0.6455,85,0.0
85,200,GuideXML.java,0.6441,86,0.0
86,200,LoadingLayout.java,0.6438,87,0.0
87,200,GuideTaxonActivity.java,0.6436,88,0.0
88,200,ActivityHelper.java,0.6424,89,0.0
89,200,FeaturedProjectsTab.java,0.6406,90,0.0
90,200,Observation.java,0.6398,91,0.0
91,200,ProjectField.java,0.6395,92,0.0
92,200,PullToRefreshAdapterViewBase.java,0.6386,93,0.0
93,200,INaturalistMapActivity.java,0.6377,94,0.0
94,200,INaturalistApp.java,0.6361,95,0.0
95,200,OnGestureListener.java,0.6357,96,0.0
96,200,SignInTask.java,0.6346,97,0.0
97,200,TabsAdapter.java,0.6331,98,0.0
98,200,SoundPullEventListener.java,0.6321,99,0.0
99,200,INaturalistPrefsActivity.java,0.6303,100,0.0
